athlete_id,name,sex,NOC,country_name,birth_date,sport_principal,sport,sport_code
1926569,REED Davon,Male,PUR,Puerto Rico,1995-06-11,Basketball,Basketball,BKB
1926575,DAVID Chloe,Female,VAN,Vanuatu,2005-06-03,Athletics,Athletics,ATH
1926578,KNEWSTUBB Andrew,Male,NZL,New Zealand,1995-09-14,Rugby Sevens,Rugby Sevens,RU7
1926592,WAAKA Stacey,Female,NZL,New Zealand,1995-11-03,Rugby Sevens,Rugby Sevens,RU7
1926593,SAILI Alena,Female,NZL,New Zealand,1998-12-13,Rugby Sevens,Rugby Sevens,RU7
1926595,CARTER Leroy,Male,NZL,New Zealand,1999-02-24,Rugby Sevens,Rugby Sevens,RU7
1926596,POURI-LANE Risi,Female,NZL,New Zealand,2000-05-28,Rugby Sevens,Rugby Sevens,RU7
1926624,RUSH Brady,Male,NZL,New Zealand,1999-04-24,Rugby Sevens,Rugby Sevens,RU7
1926627,FINEANGANOFO Fehi,Male,NZL,New Zealand,2002-08-31,Rugby Sevens,Rugby Sevens,RU7
1926629,NUKU Manaia,Female,NZL,New Zealand,2002-09-03,Rugby Sevens,Rugby Sevens,RU7
1926632,HIRINI Sarah,Female,NZL,New Zealand,1992-12-09,Rugby Sevens,Rugby Sevens,RU7
1926633,LEO Moses,Male,NZL,New Zealand,1997-08-11,Rugby Sevens,Rugby Sevens,RU7
1926634,FELIX-HOTHAM Jazmin,Female,NZL,New Zealand,2000-07-02,Rugby Sevens,Rugby Sevens,RU7
1926635,BLYDE Michaela,Female,NZL,New Zealand,1995-12-29,Rugby Sevens,Rugby Sevens,RU7
