athlete_id,name,sex,NOC,country_name,birth_date,sport_principal,sport,sport_code
1925091,CARABALLO HERNANDEZ Soleymi Antoni,Female,VEN,Venezuela,1994-06-17,Wrestling,Wrestling,WRE
1925098,BARRIOS Anriquelis,Female,VEN,Venezuela,1993-08-20,Judo,Judo,JUD
1925106,METELLUS Philippe Abel,Male,HAI,Haiti,1990-05-30,Judo,Judo,JUD
1925121,HO Ian Yentou,Male,HKG,"Hong Kong, China",1997-04-25,Swimming,Swimming,SWM
1925123,AU Hoi Shun Stephanie,Female,HKG,"Hong Kong, China",1992-05-30,Swimming,Swimming,SWM
1925124,CHENG Camille Lily Mei,Female,HKG,"Hong Kong, China",1993-05-09,Swimming,Swimming,SWM
1925125,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",1997-10-31,Swimming,Swimming,SWM
1925126,KAN Cheuk Tung Natalie,Female,HKG,"Hong Kong, China",2002-04-30,Swimming,Swimming,SWM
1925129,TAM Hoi Lam,Female,HKG,"Hong Kong, China",1998-04-21,Swimming,Swimming,SWM
1925130,CHEUNG Sum Yuet Cindy,Female,HKG,"Hong Kong, China",2006-08-09,Swimming,Swimming,SWM
1925164,LEE Cheuk Yiu,Male,HKG,"Hong Kong, China",1996-08-28,Badminton,Badminton,BDM
1925167,TANG Chun Man,Male,HKG,"Hong Kong, China",1995-03-20,Badminton,Badminton,BDM
1925168,LO Sin Yan Happy,Female,HKG,"Hong Kong, China",2003-02-25,Badminton,Badminton,BDM
1925170,TSE Ying Suet,Female,HKG,"Hong Kong, China",1991-11-09,Badminton,Badminton,BDM
1925171,YEUNG Nga Ting,Female,HKG,"Hong Kong, China",1998-10-13,Badminton,Badminton,BDM
1925172,YEUNG Pui Lam,Female,HKG,"Hong Kong, China",2001-10-26,Badminton,Badminton,BDM
1925180,KIFLE Aron,Male,ERI,Eritrea,1998-02-20,Athletics,Athletics,ATH
1925255,PRIMOVA Aynura,Female,TKM,Turkmenistan,2006-09-02,Swimming,Swimming,SWM
1925275,TOTI Giovanni,Male,ITA,Italy,2000-12-28,Badminton,Badminton,BDM
1925301,ANTI,Female,ITA,Italy,1997-11-30,Breaking,Breaking,BKG
1925346,SCUTTO Assunta,Female,ITA,Italy,2002-01-17,Judo,Judo,JUD
1925347,GIUFFRIDA Odette,Female,ITA,Italy,1994-10-12,Judo,Judo,JUD
1925348,TONIOLO Veronica,Female,ITA,Italy,2003-05-20,Judo,Judo,JUD
1925349,BELLANDI Alice,Female,ITA,Italy,1998-11-20,Judo,Judo,JUD
1925350,LOMBARDO Manuel,Male,ITA,Italy,1998-12-04,Judo,Judo,JUD
1925351,PARLATI Christian,Male,ITA,Italy,1998-01-23,Judo,Judo,JUD
1925352,TAVANO Asya,Female,ITA,Italy,2002-06-06,Judo,Judo,JUD
1925355,CHAMIZO MARQUEZ Frank,Male,ITA,Italy,1992-07-10,Wrestling,Wrestling,WRE
1925359,RUSSO Aurora,Female,ITA,Italy,2003-06-03,Wrestling,Wrestling,WRE
1925508,CARLINO Andrea,Male,ITA,Italy,1997-01-17,Judo,Judo,JUD
1925513,PIRAS Matteo,Male,ITA,Italy,1993-09-30,Judo,Judo,JUD
1925515,ESPOSITO Antonio,Male,ITA,Italy,1994-11-18,Judo,Judo,JUD
1925519,PIRELLI Gennaro,Male,ITA,Italy,2000-08-21,Judo,Judo,JUD
1925542,RUSSO Savita,Female,ITA,Italy,2005-05-18,Judo,Judo,JUD
1925630,PALTRINIERI Gregorio,Male,ITA,Italy,1994-09-05,Marathon Swimming,Marathon Swimming,OWS
1925631,ACERENZA Domenico,Male,ITA,Italy,1995-01-19,Marathon Swimming,Marathon Swimming,OWS
1925632,QUADARELLA Simona,Female,ITA,Italy,1998-12-18,Swimming,Swimming,SWM
1925633,MARTINENGHI Nicolo,Male,ITA,Italy,1999-08-01,Swimming,Swimming,SWM
1925634,FRIGO Manuel,Male,ITA,Italy,1997-02-18,Swimming,Swimming,SWM
1925635,CECCON Thomas,Male,ITA,Italy,2001-01-27,Swimming,Swimming,SWM
1925636,MIRESSI Alessandro,Male,ITA,Italy,1998-10-02,Swimming,Swimming,SWM
1925637,RAZZETTI Alberto,Male,ITA,Italy,1999-06-02,Swimming,Swimming,SWM
1925638,PILATO Benedetta,Female,ITA,Italy,2005-01-18,Swimming,Swimming,SWM
1925639,BIGINELLI Maia,Female,ITA,Italy,2003-06-09,Diving,Diving,DIV
1925640,JODOIN di MARIA Sarah,Female,ITA,Italy,2000-01-03,Diving,Diving,DIV
1925641,BERTOCCHI Elena,Female,ITA,Italy,1994-09-19,Diving,Diving,DIV
1925642,PELLACANI Chiara,Female,ITA,Italy,2002-09-12,Diving,Diving,DIV
1925643,MARSAGLIA Lorenzo,Male,ITA,Italy,1996-11-16,Diving,Diving,DIV
1925644,TOCCI Giovanni,Male,ITA,Italy,1994-08-31,Diving,Diving,DIV
1925645,LARSEN Andreas Sargent,Male,ITA,Italy,1999-04-20,Diving,Diving,DIV
1925647,BRUNI Lorenzo,Male,ITA,Italy,1994-04-08,Water Polo,Water Polo,WPO
1925649,CONDEMI Francesco,Male,ITA,Italy,2003-12-23,Water Polo,Water Polo,WPO
1925652,del LUNGO Marco,Male,ITA,Italy,1990-03-01,Water Polo,Water Polo,WPO
1925653,di FULVIO Francesco,Male,ITA,Italy,1993-08-15,Water Polo,Water Polo,WPO
1925654,di SOMMA Edoardo,Male,ITA,Italy,1996-09-30,Water Polo,Water Polo,WPO
1925656,ECHENIQUE Gonzalo,Male,ITA,Italy,1990-04-27,Water Polo,Water Polo,WPO
1925657,FONDELLI Andrea,Male,ITA,Italy,1994-02-27,Water Polo,Water Polo,WPO
1925658,GIANAZZA Tommaso,Male,ITA,Italy,2002-07-21,Water Polo,Water Polo,WPO
1925659,IOCCHI GRATTA Matteo,Male,ITA,Italy,2002-09-01,Water Polo,Water Polo,WPO
1925664,NICOSIA Gianmarco,Male,ITA,Italy,1998-02-12,Water Polo,Water Polo,WPO
1925665,PRESCIUTTI Nicholas,Male,ITA,Italy,1993-12-14,Water Polo,Water Polo,WPO
1925666,RENZUTO IODICE Vincenzo,Male,ITA,Italy,1993-04-08,Water Polo,Water Polo,WPO
1925667,VELOTTO Alessandro,Male,ITA,Italy,1995-02-12,Water Polo,Water Polo,WPO
1925668,FRANCESCHI Sara,Female,ITA,Italy,1999-02-01,Swimming,Swimming,SWM
1925669,ZAZZERI Lorenzo,Male,ITA,Italy,1994-08-09,Swimming,Swimming,SWM
1925671,CARINI Giacomo,Male,ITA,Italy,1997-07-02,Swimming,Swimming,SWM
1925675,CONTE BONIN Paolo,Male,ITA,Italy,2002-02-09,Swimming,Swimming,SWM
1925677,de TULLIO Luca,Male,ITA,Italy,2003-09-21,Swimming,Swimming,SWM
1925678,de TULLIO Marco,Male,ITA,Italy,2000-09-21,Swimming,Swimming,SWM
1925681,DEPLANO Leonardo,Male,ITA,Italy,1999-07-21,Swimming,Swimming,SWM
1925683,LAMBERTI Matteo,Male,ITA,Italy,1999-03-24,Swimming,Swimming,SWM
1925684,LAMBERTI Michele,Male,ITA,Italy,2000-11-03,Swimming,Swimming,SWM
1925686,MEGLI Filippo,Male,ITA,Italy,1997-05-10,Swimming,Swimming,SWM
1925690,RAGAINI Alessandro,Male,ITA,Italy,2006-08-02,Swimming,Swimming,SWM
1925691,RESTIVO Matteo,Male,ITA,Italy,1994-11-04,Swimming,Swimming,SWM
1925692,VIBERTI Ludovico Blu Art,Male,ITA,Italy,2002-02-08,Swimming,Swimming,SWM
1925693,GIOVANNINI Riccardo,Male,ITA,Italy,2003-03-14,Diving,Diving,DIV
1925700,GABBRIELLESCHI Giulia,Female,ITA,Italy,1996-07-24,Marathon Swimming,Marathon Swimming,OWS
1925701,CERRUTI Linda,Female,ITA,Italy,1993-10-07,Artistic Swimming,Artistic Swimming,SWA
1925702,ZUNINO Francesca,Female,ITA,Italy,2000-02-13,Artistic Swimming,Artistic Swimming,SWA
1925703,SPORTELLI Isotta,Female,ITA,Italy,2000-01-02,Artistic Swimming,Artistic Swimming,SWA
1925706,PICCOLI Enrica,Female,ITA,Italy,1999-01-19,Artistic Swimming,Artistic Swimming,SWA
1925707,PEDOTTI Susanna,Female,ITA,Italy,2004-09-13,Artistic Swimming,Artistic Swimming,SWA
1925711,IACOACCI Marta,Female,ITA,Italy,2000-11-24,Artistic Swimming,Artistic Swimming,SWA
1925713,MASTROIANNI Sofia,Female,ITA,Italy,2001-08-02,Artistic Swimming,Artistic Swimming,SWA
1925715,VERNICE Giulia,Female,ITA,Italy,2005-06-18,Artistic Swimming,Artistic Swimming,SWA
1925719,RUGGIERO Lucrezia,Female,ITA,Italy,2000-06-07,Artistic Swimming,Artistic Swimming,SWA
1925721,ANGIOLINI Lisa,Female,ITA,Italy,1995-06-29,Swimming,Swimming,SWM
1925725,COCCONCELLI Costanza,Female,ITA,Italy,2002-01-26,Swimming,Swimming,SWM
1925727,D'INNOCENZO Giulia,Female,ITA,Italy,2002-05-17,Swimming,Swimming,SWM
1925728,CURTIS Sara,Female,ITA,Italy,2006-08-19,Swimming,Swimming,SWM
1925733,ARTAMONOVA Sona,Female,CZE,Czechia,2007-10-09,Artistic Gymnastics,Artistic Gymnastics,GAR
1925749,KLAMMERT David,Male,CZE,Czechia,1994-04-09,Judo,Judo,JUD
1925750,KRPALEK Lukas,Male,CZE,Czechia,1990-11-15,Judo,Judo,JUD
1925751,ZACHOVA Renata,Female,CZE,Czechia,2000-05-31,Judo,Judo,JUD
1925762,GRYCZ Marek,Male,CZE,Czechia,1997-09-15,Modern Pentathlon,Modern Pentathlon,MPN
1925763,HLAVACKOVA Lucie,Female,CZE,Czechia,2005-09-30,Modern Pentathlon,Modern Pentathlon,MPN
1925766,NOVOTNA Veronika,Female,CZE,Czechia,2000-11-11,Modern Pentathlon,Modern Pentathlon,MPN
